id,title,release_date,release_year,release_month,status,primary_genre,genre_list,n_genres,budget,revenue,profit,roi,runtime,vote_average,vote_count,popularity,primary_company,company_list,n_production_companies,primary_country,country_list,n_countries,original_language,n_spoken_languages,has_homepage,n_keywords,keyword_list,director,n_directors,n_producers,n_writers,cast_size,lead_actor,top_3_cast,cast_n_female,cast_n_male,cast_n_unspecified_gender,crew_size,n_visual_effects_crew,n_camera_crew,n_sound_crew,franchise_status
1452,Superman Returns,2006-06-28,2006.0,6.0,Released,Adventure,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",4,270000000,391081192,121081192,1.4484488592592593,154.0,5.4,1400,57.925623,DC Comics,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",4,United States of America,['United States of America'],1,en,3,True,10,"['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']",Bryan Singer,1.0,3.0,7.0,18,Brandon Routh,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",5,10,3,24.0,0.0,1.0,1.0,Franchise
10764,Quantum of Solace,2008-10-30,2008.0,10.0,Released,Adventure,"['Adventure', 'Action', 'Thriller', 'Crime']",4,200000000,586090727,386090727,2.930453635,106.0,6.1,2965,107.928811,Eon Productions,['Eon Productions'],1,United Kingdom,"['United Kingdom', 'United States of America']",2,en,5,True,4,"['killing', 'undercover', 'secret agent', 'british secret service']",Marc Forster,1.0,2.0,4.0,32,Daniel Craig,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",7,14,11,17.0,0.0,1.0,1.0,Original
58,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,2006.0,6.0,Released,Adventure,"['Adventure', 'Fantasy', 'Action']",3,200000000,1065659812,865659812,5.32829906,151.0,7.0,5246,145.847379,Walt Disney Pictures,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",3,Jamaica,"['Jamaica', 'United States of America', 'Bahamas', 'Dominica']",4,en,4,True,14,"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",Gore Verbinski,1.0,3.0,4.0,33,Johnny Depp,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",4,25,4,23.0,2.0,1.0,1.0,Original
57201,The Lone Ranger,2013-07-03,2013.0,7.0,Released,Action,"['Action', 'Adventure', 'Western']",3,255000000,89289910,-165710090,0.3501565098039215,149.0,5.9,2311,49.046956,Walt Disney Pictures,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",6,United States of America,['United States of America'],1,en,1,True,13,"['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']",Gore Verbinski,1.0,2.0,3.0,60,Johnny Depp,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",6,33,21,35.0,1.0,1.0,10.0,Original
49521,Man of Steel,2013-06-12,2013.0,6.0,Released,Action,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",4,225000000,662845518,437845518,2.94598008,143.0,6.5,6359,99.398009,Legendary Pictures,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']",5,United Kingdom,"['United Kingdom', 'United States of America']",2,en,1,True,9,"['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']",Zack Snyder,1.0,4.0,6.0,33,Henry Cavill,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",8,20,5,48.0,3.0,1.0,2.0,Original
2454,The Chronicles of Narnia: Prince Caspian,2008-05-15,2008.0,5.0,Released,Adventure,"['Adventure', 'Family', 'Fantasy']",3,225000000,419651413,194651413,1.8651173911111112,150.0,6.3,1630,53.978602,Walt Disney,"['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']",7,Czech Republic,"['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",4,en,1,False,12,"['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']",Andrew Adamson,1.0,3.0,4.0,21,Ben Barnes,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",5,16,0,83.0,3.0,13.0,7.0,Original
24428,The Avengers,2012-04-25,2012.0,4.0,Released,Science Fiction,"['Science Fiction', 'Action', 'Adventure']",3,220000000,1519557910,1299557910,6.907081409090909,143.0,7.4,11776,144.448633,Paramount Pictures,"['Paramount Pictures', 'Marvel Studios']",2,United States of America,['United States of America'],1,en,1,True,10,"['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",Joss Whedon,1.0,1.0,6.0,115,Robert Downey Jr.,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",28,69,18,147.0,29.0,8.0,9.0,Original
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-14,2011.0,5.0,Released,Adventure,"['Adventure', 'Action', 'Fantasy']",3,380000000,1045713802,665713802,2.7518784263157894,136.0,6.4,4948,135.413856,Walt Disney Pictures,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",3,United States of America,['United States of America'],1,en,2,True,16,"['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']",Rob Marshall,1.0,1.0,2.0,35,Johnny Depp,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",3,25,7,39.0,1.0,2.0,16.0,Original
41154,Men in Black 3,2012-05-23,2012.0,5.0,Released,Action,"['Action', 'Comedy', 'Science Fiction']",3,225000000,624026776,399026776,2.773452337777778,106.0,6.2,4160,52.035179,Amblin Entertainment,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",5,United States of America,['United States of America'],1,en,1,True,6,"['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']",Barry Sonnenfeld,1.0,2.0,2.0,18,Will Smith,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",4,12,2,21.0,1.0,2.0,1.0,Franchise
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,2014.0,12.0,Released,Action,"['Action', 'Adventure', 'Fantasy']",3,250000000,956019788,706019788,3.824079152,144.0,7.1,4760,120.965743,WingNut Films,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']",5,New Zealand,"['New Zealand', 'United States of America']",2,en,1,True,11,"['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']",Peter Jackson,1.0,4.0,5.0,42,Martin Freeman,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",5,27,10,127.0,21.0,4.0,19.0,Original
1930,The Amazing Spider-Man,2012-06-27,2012.0,6.0,Released,Action,"['Action', 'Adventure', 'Fantasy']",3,215000000,752215857,537215857,3.4986784046511628,136.0,6.5,6586,89.866276,Columbia Pictures,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",3,United States of America,['United States of America'],1,en,1,True,12,"['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']",Marc Webb,1.0,3.0,6.0,57,Andrew Garfield,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",18,32,7,106.0,19.0,7.0,14.0,Original
20662,Robin Hood,2010-05-12,2010.0,5.0,Released,Action,"['Action', 'Adventure']",2,200000000,310669540,110669540,1.5533477,140.0,6.2,1398,37.668301,Imagine Entertainment,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']",4,United Kingdom,"['United Kingdom', 'United States of America']",2,en,2,True,8,"['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']",Ridley Scott,1.0,3.0,1.0,34,Russell Crowe,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",5,22,7,18.0,0.0,2.0,3.0,Original
57158,The Hobbit: The Desolation of Smaug,2013-12-11,2013.0,12.0,Released,Adventure,"['Adventure', 'Fantasy']",2,250000000,958400000,708400000,3.8336,161.0,7.6,4524,94.370564,WingNut Films,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",4,New Zealand,"['New Zealand', 'United States of America']",2,en,1,True,7,"['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']",Peter Jackson,1.0,4.0,5.0,32,Martin Freeman,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",4,22,6,108.0,13.0,5.0,15.0,Original
2268,The Golden Compass,2007-12-04,2007.0,12.0,Released,Adventure,"['Adventure', 'Fantasy']",2,180000000,372234864,192234864,2.067971466666666,113.0,5.8,1303,42.990906,New Line Cinema,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']",4,United Kingdom,"['United Kingdom', 'United States of America']",2,en,4,True,9,"['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']",Chris Weitz,1.0,2.0,2.0,29,Dakota Blue Richards,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",8,14,7,32.0,2.0,2.0,1.0,Original
254,King Kong,2005-12-14,2005.0,12.0,Released,Adventure,"['Adventure', 'Drama', 'Action']",3,207000000,550000000,343000000,2.657004830917874,187.0,6.6,2337,61.22601,WingNut Films,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']",4,New Zealand,"['New Zealand', 'United States of America', 'Germany']",3,en,1,False,10,"['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']",Peter Jackson,1.0,4.0,3.0,33,Naomi Watts,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",1,20,12,38.0,3.0,1.0,5.0,Original
597,Titanic,1997-11-18,1997.0,11.0,Released,Drama,"['Drama', 'Romance', 'Thriller']",3,200000000,1845034188,1645034188,9.22517094,194.0,7.5,7562,100.025899,Paramount Pictures,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",3,United States of America,['United States of America'],1,en,6,True,19,"['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']",James Cameron,1.0,2.0,1.0,136,Kate Winslet,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",30,42,64,65.0,1.0,3.0,3.0,Original
271110,Captain America: Civil War,2016-04-27,2016.0,4.0,Released,Adventure,"['Adventure', 'Action', 'Science Fiction']",3,250000000,1153304495,903304495,4.61321798,147.0,7.1,7241,198.372395,Studio Babelsberg,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",5,United States of America,['United States of America'],1,en,4,True,11,"['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",Anthony Russo,2.0,1.0,5.0,100,Chris Evans,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",9,27,64,119.0,16.0,12.0,13.0,Franchise
44833,Battleship,2012-04-11,2012.0,4.0,Released,Thriller,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",4,209000000,303025485,94025485,1.4498827033492825,131.0,5.5,2114,64.928382,Universal Pictures,"['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",4,United States of America,['United States of America'],1,en,2,False,26,"['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']",Peter Berg,1.0,6.0,2.0,46,Taylor Kitsch,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",5,27,14,122.0,18.0,10.0,22.0,Original
135397,Jurassic World,2015-06-09,2015.0,6.0,Released,Action,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",4,150000000,1513528810,1363528810,10.090192066666669,124.0,6.5,8662,418.708552,Universal Studios,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",5,United States of America,['United States of America'],1,en,1,True,16,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",Colin Trevorrow,1.0,2.0,15.0,28,Chris Pratt,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",8,16,4,435.0,59.0,28.0,26.0,Franchise
37724,Skyfall,2012-10-25,2012.0,10.0,Released,Action,"['Action', 'Adventure', 'Thriller']",3,200000000,1108561013,908561013,5.542805065,143.0,6.9,7604,93.004993,Columbia Pictures,['Columbia Pictures'],1,United Kingdom,"['United Kingdom', 'United States of America']",2,en,1,True,12,"['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']",Sam Mendes,1.0,2.0,4.0,24,Daniel Craig,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",6,8,10,30.0,0.0,2.0,3.0,Original
558,Spider-Man 2,2004-06-25,2004.0,6.0,Released,Action,"['Action', 'Adventure', 'Fantasy']",3,200000000,783766341,583766341,3.918831705,127.0,6.7,4321,35.149586,Columbia Pictures,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",3,United States of America,['United States of America'],1,en,3,True,11,"['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']",Sam Raimi,1.0,3.0,7.0,76,Tobey Maguire,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",16,33,27,128.0,6.0,8.0,13.0,Franchise
68721,Iron Man 3,2013-04-18,2013.0,4.0,Released,Action,"['Action', 'Adventure', 'Science Fiction']",3,200000000,1215439994,1015439994,6.07719997,130.0,6.8,8806,77.68208,Marvel Studios,['Marvel Studios'],1,China,"['China', 'United States of America']",2,en,1,True,16,"['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']",Shane Black,1.0,1.0,4.0,107,Robert Downey Jr.,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",12,42,53,29.0,2.0,1.0,1.0,Franchise
12155,Alice in Wonderland,2010-03-03,2010.0,3.0,Released,Family,"['Family', 'Fantasy', 'Adventure']",3,200000000,1025491110,825491110,5.12745555,108.0,6.4,4645,78.530105,Walt Disney Pictures,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",5,United States of America,['United States of America'],1,en,1,True,7,"['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']",Tim Burton,1.0,7.0,3.0,35,Mia Wasikowska,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",16,17,2,24.0,2.0,1.0,1.0,Original
36668,X-Men: The Last Stand,2006-05-24,2006.0,5.0,Released,Adventure,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",4,210000000,459359555,249359555,2.187426452380953,104.0,6.3,3525,3.857526,Ingenious Film Partners,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Major Studio Partners', 'Bad Hat Harry Productions', 'thinkfilm', 'Marvel Enterprises', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service']",11,Canada,"['Canada', 'United Kingdom', 'United States of America']",3,en,1,False,7,"['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']",Brett Ratner,1.0,3.0,2.0,32,Hugh Jackman,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",10,19,3,39.0,2.0,1.0,1.0,Original
62211,Monsters University,2013-06-20,2013.0,6.0,Released,Animation,"['Animation', 'Family']",2,200000000,743559607,543559607,3.717798035,104.0,7.0,3528,89.186492,Walt Disney Pictures,"['Walt Disney Pictures', 'Pixar Animation Studios']",2,United States of America,['United States of America'],1,en,1,False,8,"['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']",Dan Scanlon,1.0,1.0,3.0,24,Billy Crystal,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",6,16,2,13.0,0.0,0.0,1.0,Original
8373,Transformers: Revenge of the Fallen,2009-06-19,2009.0,6.0,Released,Science Fiction,"['Science Fiction', 'Action', 'Adventure']",3,150000000,836297228,686297228,5.575314853333333,150.0,6.0,3138,21.939663,Paramount Pictures,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",7,United States of America,['United States of America'],1,en,2,True,10,"['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']",Michael Bay,1.0,4.0,1.0,37,Shia LaBeouf,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",6,25,6,55.0,3.0,4.0,13.0,Original
91314,Transformers: Age of Extinction,2014-06-25,2014.0,6.0,Released,Science Fiction,"['Science Fiction', 'Action', 'Adventure']",3,210000000,1091405097,881405097,5.1971671285714285,165.0,5.8,3095,116.840296,Paramount Pictures,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",8,United States of America,['United States of America'],1,en,1,True,7,"['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']",Michael Bay,1.0,4.0,1.0,41,Mark Wahlberg,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",6,26,9,86.0,15.0,2.0,10.0,Franchise
68728,Oz: The Great and Powerful,2013-03-07,2013.0,3.0,Released,Fantasy,"['Fantasy', 'Adventure', 'Family']",3,200000000,491868548,291868548,2.45934274,130.0,5.7,3530,46.985445,Walt Disney Pictures,"['Walt Disney Pictures', 'Roth Films']",2,United States of America,['United States of America'],1,en,1,True,9,"['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magic trick', 'wizard', '3d']",Sam Raimi,1.0,1.0,3.0,159,James Franco,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",33,15,111,31.0,5.0,1.0,1.0,Original
